district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category,total_filled,rural_filled,urban_filled,total_corrected,rural_corrected,urban_corrected
Sivaganga,Tamil Nadu,622,33,7.7,8.9,5.3,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.7,8.9,5.3,7.7,8.9,5.3
Madurai,Tamil Nadu,623,33,9.5,9.6,9.5,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,9.5,9.6,9.5,9.5,9.6,9.5
Theni,Tamil Nadu,624,33,5.5,1.6,7.8,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,5.5,1.6,7.8,5.5,1.6,7.8
Virudhunagar,Tamil Nadu,625,33,6.7,-9.9,3.9,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,6.7,-9.9,3.9,6.7,9.9,3.9
Ramanathapuram,Tamil Nadu,626,33,8.7,-6.3,14.5,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,8.7,-6.3,14.5,8.7,6.3,14.5
Thoothukkudi,Tamil Nadu,627,33,7.0,-5.8,7.7,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.0,-5.8,7.7,7.0,5.8,7.7
Tirunelveli,Tamil Nadu,628,33,9.0,-7.3,10.6,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,9.0,-7.3,10.6,9.0,7.3,10.6
Kanniyakumari,Tamil Nadu,629,33,12.5,,15.5,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,12.5,0,15.5,12.5,0,15.5
Dharmapuri,Tamil Nadu,630,33,7.5,7.7,,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.5,7.7,0,7.5,7.7,0
Krishnagiri,Tamil Nadu,631,33,7.0,8.7,,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.0,8.7,0,7.0,8.7,0
Coimbatore,Tamil Nadu,632,33,7.8,,9,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.8,0,9,7.8,0,9
Tiruppur,Tamil Nadu,633,33,8.2,6,9.6,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,8.2,6,9.6,8.2,6,9.6
Yanam,Puducherry,634,34,4.0,,4,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,4.0,0,4,4.0,0,4
Puducherry,Puducherry,635,34,6.6,2.9,8.6,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,6.6,2.9,8.6,6.6,2.9,8.6
Mahe,Puducherry,636,34,13.1,,13.1,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,13.1,0,13.1,13.1,0,13.1
Karaikal,Puducherry,637,34,12.1,19.8,3.6,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,12.1,19.8,3.6,12.1,19.8,3.6
Nicobar,Andaman & Nicobar Islands,638,35,4.0,4,,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,4.0,4,0,4.0,4,0
North & Middle Andaman,Andaman & Nicobar Islands,639,35,19.8,17.6,,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,19.8,17.6,0,19.8,17.6,0
South Andaman,Andaman & Nicobar Islands,640,35,16.4,10.1,20.5,83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,16.4,10.1,20.5,16.4,10.1,20.5
Kupwara,Jammu & Kashmir,1,1,6.4,6.2,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.4,6.2,0,6.4,6.2,0
Badgam,Jammu & Kashmir,2,1,7.7,8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.7,8,0,7.7,8,0
Leh(Ladakh),Jammu & Kashmir,3,1,4.5,4.2,5.1,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,4.5,4.2,5.1,4.5,4.2,5.1
Kargil,Jammu & Kashmir,4,1,4.1,4.5,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,4.1,4.5,0,4.1,4.5,0
Punch,Jammu & Kashmir,5,1,7.8,7.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.8,7.9,0,7.8,7.9,0
Rajouri,Jammu & Kashmir,6,1,9.0,9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.0,9,0,9.0,9,0
Kathua,Jammu & Kashmir,7,1,6.7,6.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.7,6.6,0,6.7,6.6,0
Baramula,Jammu & Kashmir,8,1,5.6,5.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.6,5.9,0,5.6,5.9,0
Bandipore,Jammu & Kashmir,9,1,7.6,7.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.6,7.4,0,7.6,7.4,0
Srinagar,Jammu & Kashmir,10,1,11.6,,11.7,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.6,0,11.7,11.6,0,11.7
Ganderbal,Jammu & Kashmir,11,1,9.9,9.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.9,9.4,0,9.9,9.4,0
Pulwama,Jammu & Kashmir,12,1,7.6,7.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.6,7.6,0,7.6,7.6,0
Shupiyan,Jammu & Kashmir,13,1,9.0,9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.0,9,0,9.0,9,0
Anantnag,Jammu & Kashmir,14,1,13.9,11.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,13.9,11.4,0,13.9,11.4,0
Kulgam,Jammu & Kashmir,15,1,10.2,10.8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.2,10.8,0,10.2,10.8,0
Doda,Jammu & Kashmir,16,1,8.4,7.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.4,7.9,0,8.4,7.9,0
Ramban,Jammu & Kashmir,17,1,8.4,8.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.4,8.4,0,8.4,8.4,0
Kishtwar,Jammu & Kashmir,18,1,7.4,7.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.4,7.7,0,7.4,7.7,0
Udhampur,Jammu & Kashmir,19,1,6.3,5.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.3,5.7,0,6.3,5.7,0
Reasi,Jammu & Kashmir,20,1,5.4,5.1,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.4,5.1,0,5.4,5.1,0
Jammu,Jammu & Kashmir,21,1,10.3,8.6,12.2,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.3,8.6,12.2,10.3,8.6,12.2
Samba,Jammu & Kashmir,22,1,10.9,10.8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.9,10.8,0,10.9,10.8,0
Chamba,Himachal Pradesh,23,2,5.3,5,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.3,5,0,5.3,5,0
Kangra,Himachal Pradesh,24,2,10.8,11,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.8,11,0,10.8,11,0
Lahul and Spiti,Himachal Pradesh,25,2,8.5,8.5,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.5,8.5,0,8.5,8.5,0
Kullu,Himachal Pradesh,26,2,10.3,9.8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.3,9.8,0,10.3,9.8,0
Mandi,Himachal Pradesh,27,2,9.8,10.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.8,10.3,0,9.8,10.3,0
Hamirpur,Himachal Pradesh,28,2,11.9,11.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.9,11.6,0,11.9,11.6,0
Una,Himachal Pradesh,29,2,9.5,9.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.5,9.6,0,9.5,9.6,0
Bilaspur,Himachal Pradesh,30,2,9.2,9.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.2,9.3,0,9.2,9.3,0
Solan,Himachal Pradesh,31,2,8.4,7.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.4,7.4,0,8.4,7.4,0
Sirmaur,Himachal Pradesh,32,2,9.5,9.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.5,9.7,0,9.5,9.7,0
Shimla,Himachal Pradesh,33,2,8.1,6.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.1,6.7,0,8.1,6.7,0
Kinnaur,Himachal Pradesh,34,2,7.0,7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.0,7,0,7.0,7,0
Gurdaspur,Punjab,35,3,11.6,10.1,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.6,10.1,0,11.6,10.1,0
Kapurthala,Punjab,36,3,7.5,7.3,7.7,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.5,7.3,7.7,7.5,7.3,7.7
Jalandhar,Punjab,37,3,8.6,11.1,6.4,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.6,11.1,6.4,8.6,11.1,6.4
Hoshiarpur,Punjab,38,3,11.3,10.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.3,10.3,0,11.3,10.3,0
Sahid Bhagat Singh Nagar,Punjab,39,3,10.5,10.7,9.8,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.5,10.7,9.8,10.5,10.7,9.8
Fatehgarh Sahib,Punjab,40,3,11.1,11.8,9.4,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.1,11.8,9.4,11.1,11.8,9.4
Ludhiana,Punjab,41,3,9.6,8.5,10.3,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.6,8.5,10.3,9.6,8.5,10.3
Moga,Punjab,42,3,12.6,13.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,12.6,13.3,0,12.6,13.3,0
Firozpur,Punjab,43,3,11.8,11.2,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.8,11.2,0,11.8,11.2,0
Muktsar,Punjab,44,3,13.9,16.5,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,13.9,16.5,0,13.9,16.5,0
Faridkot,Punjab,45,3,7.8,7,10.1,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.8,7,10.1,7.8,7,10.1
Bathinda,Punjab,46,3,7.9,9.9,5.6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.9,9.9,5.6,7.9,9.9,5.6
Mansa,Punjab,47,3,12.0,12.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,12.0,12.7,0,12.0,12.7,0
Patiala,Punjab,48,3,10.2,12.1,8.1,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.2,12.1,8.1,10.2,12.1,8.1
Amritsar,Punjab,49,3,9.5,11.4,7.9,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.5,11.4,7.9,9.5,11.4,7.9
Tarn Taran,Punjab,50,3,11.7,11.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,11.7,11.9,0,11.7,11.9,0
Rup Nagar,Punjab,51,3,8.9,8.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.9,8.3,0,8.9,8.3,0
Sahibzada Ajit Singh Nagar,Punjab,52,3,7.3,8,6.8,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.3,8,6.8,7.3,8,6.8
Sangrur,Punjab,53,3,14.5,14.1,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,14.5,14.1,0,14.5,14.1,0
Barnala,Punjab,54,3,17.3,19.2,13.6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,17.3,19.2,13.6,17.3,19.2,13.6
Uttarkashi,Uttarakhand,56,5,5.5,5.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.5,5.3,0,5.5,5.3,0
Chamoli,Uttarakhand,57,5,6.0,5.8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.0,5.8,0,6.0,5.8,0
Rudraprayag,Uttarakhand,58,5,5.2,5,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.2,5,0,5.2,5,0
Tehri Garhwal,Uttarakhand,59,5,3.8,3.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,3.8,3.7,0,3.8,3.7,0
Dehradun,Uttarakhand,60,5,7.3,6.8,7.5,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.3,6.8,7.5,7.3,6.8,7.5
Garhwal,Uttarakhand,61,5,6.0,5.8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.0,5.8,0,6.0,5.8,0
Pithoragarh,Uttarakhand,62,5,7.3,6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.3,6,0,7.3,6,0
Bageshwar,Uttarakhand,63,5,4.3,4.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,4.3,4.4,0,4.3,4.4,0
Almora,Uttarakhand,64,5,8.2,7.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.2,7.9,0,8.2,7.9,0
Champawat,Uttarakhand,65,5,8.9,8.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.9,8.6,0,8.9,8.6,0
Nainital,Uttarakhand,66,5,9.4,8.9,10.1,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.4,8.9,10.1,9.4,8.9,10.1
Udham Singh Nagar,Uttarakhand,67,5,8.1,8.2,8,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.1,8.2,8,8.1,8.2,8
Hardwar,Uttarakhand,68,5,7.5,6.8,8.4,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.5,6.8,8.4,7.5,6.8,8.4
Panchkula,Haryana,69,6,8.4,8,8.6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.4,8,8.6,8.4,8,8.6
Ambala,Haryana,70,6,8.9,6.2,12.2,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.9,6.2,12.2,8.9,6.2,12.2
Yamunanagar,Haryana,71,6,10.1,8.9,11.9,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.1,8.9,11.9,10.1,8.9,11.9
Kurukshetra,Haryana,72,6,8.5,9.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.5,9.4,0,8.5,9.4,0
Kaithal,Haryana,73,6,7.2,6.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.2,6.9,0,7.2,6.9,0
Karnal,Haryana,74,6,4.6,3.7,6.6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,4.6,3.7,6.6,4.6,3.7,6.6
Panipat,Haryana,75,6,3.5,4.1,3,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,3.5,4.1,3,3.5,4.1,3
Sonipat,Haryana,76,6,3.8,3.2,5.2,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,3.8,3.2,5.2,3.8,3.2,5.2
Jind,Haryana,77,6,5.6,5.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.6,5.6,0,5.6,5.6,0
Fatehabad,Haryana,78,6,13.1,12.9,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,13.1,12.9,0,13.1,12.9,0
Sirsa,Haryana,79,6,7.7,7.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.7,7.6,0,7.7,7.6,0
Hisar,Haryana,80,6,9.1,7.9,11.6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.1,7.9,11.6,9.1,7.9,11.6
Bhiwani,Haryana,81,6,7.4,7.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.4,7.4,0,7.4,7.4,0
Rohtak,Haryana,82,6,7.1,6.6,7.8,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.1,6.6,7.8,7.1,6.6,7.8
Jhajjar,Haryana,83,6,6.5,6.6,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.5,6.6,0,6.5,6.6,0
Mahendragarh,Haryana,84,6,10.4,9.7,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.4,9.7,0,10.4,9.7,0
Rewari,Haryana,85,6,10.0,8.1,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,10.0,8.1,0,10.0,8.1,0
Gurgaon,Haryana,86,6,6.1,8.2,5.5,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.1,8.2,5.5,6.1,8.2,5.5
Mewat,Haryana,87,6,8.2,8.4,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.2,8.4,0,8.2,8.4,0
Faridabad,Haryana,88,6,8.5,,9,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.5,0,9,8.5,0,9
Palwal,Haryana,89,6,8.5,8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.5,8,0,8.5,8,0
North West,NCT Delhi,90,7,5.9,,6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.9,0,6,5.9,0,6
North,NCT Delhi,91,7,4.7,,4.7,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,4.7,0,4.7,4.7,0,4.7
North East,NCT Delhi,92,7,9.1,,9.1,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.1,0,9.1,9.1,0,9.1
East,NCT Delhi,93,7,8.7,,8.7,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.7,0,8.7,8.7,0,8.7
New Delhi,NCT Delhi,94,7,3.2,,3.2,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,3.2,0,3.2,3.2,0,3.2
Central,NCT Delhi,95,7,6.9,,6.9,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.9,0,6.9,6.9,0,6.9
West,NCT Delhi,96,7,4.3,,4.3,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,4.3,0,4.3,4.3,0,4.3
South West,NCT Delhi,97,7,3.1,,3.2,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,3.1,0,3.2,3.1,0,3.2
South,NCT Delhi,98,7,5.6,,5.6,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.6,0,5.6,5.6,0,5.6
Ganganagar,Rajasthan,99,8,6.0,6.3,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.0,6.3,0,6.0,6.3,0
Hanumangarh,Rajasthan,100,8,8.0,7.8,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.0,7.8,0,8.0,7.8,0
Bikaner,Rajasthan,101,8,5.2,5.3,5,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,5.2,5.3,5,5.2,5.3,5
Churu,Rajasthan,102,8,6.9,6.5,,85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.9,6.5,0,6.9,6.5,0
