district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category
Lohardaga,Jharkhand,356,20,1.5,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Purbi Singhbhum,Jharkhand,357,20,1.3,1.4,1.2,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Palamu,Jharkhand,358,20,1,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Latehar,Jharkhand,359,20,1.1,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Hazaribagh,Jharkhand,360,20,1.1,1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ramgarh,Jharkhand,361,20,1.1,1.3,1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dumka,Jharkhand,362,20,1.1,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jamtara,Jharkhand,363,20,1.2,1.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ranchi,Jharkhand,364,20,2,2,2.1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Khunti,Jharkhand,365,20,1.4,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Gumla,Jharkhand,366,20,0.8,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Simdega,Jharkhand,367,20,2.6,2.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Pashchimi Singhbhum,Jharkhand,368,20,2.7,3.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Saraikela Kharsawan,Jharkhand,369,20,1.9,2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bargarh,Odisha,370,21,1.1,1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jharsuguda,Odisha,371,21,1.3,1.3,1.4,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sambalpur,Odisha,372,21,2.5,2.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Debagarh,Odisha,373,21,1.9,1.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sundargarh,Odisha,374,21,1.6,1.5,1.8,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kendujhar,Odisha,375,21,2.3,2.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Mayurbhanj,Odisha,376,21,2,2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Baleshwar,Odisha,377,21,1.6,1.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bhadrak,Odisha,378,21,1.8,1.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kendrapara,Odisha,379,21,0.8,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jagatsinghapur,Odisha,380,21,1.4,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Cuttack,Odisha,381,21,1.7,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jajapur,Odisha,382,21,0.8,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dhenkanal,Odisha,383,21,1.5,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Anugul,Odisha,384,21,1.2,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Nayagarh,Odisha,385,21,1.2,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Khordha,Odisha,386,21,1.5,1,1.9,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Puri,Odisha,387,21,1.2,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ganjam,Odisha,388,21,0.8,0.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Gajapati,Odisha,389,21,0.6,0.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kandhamal,Odisha,390,21,0.9,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Baudh,Odisha,391,21,0.8,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Subarnapur,Odisha,392,21,0.7,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Balangir,Odisha,393,21,1.4,1.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Nuapada,Odisha,394,21,0.3,0.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kalahandi,Odisha,395,21,1.3,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Rayagada,Odisha,396,21,1.1,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Nabarangapur,Odisha,397,21,2,2.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Koraput,Odisha,398,21,1.9,1.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Malkangiri,Odisha,399,21,0.9,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Korea,Chhattisgarh,400,22,2,2,2,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Surguja,Chhattisgarh,401,22,2.6,2.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jashpur,Chhattisgarh,402,22,2.4,2.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Raigarh,Chhattisgarh,403,22,2.2,2.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Korba,Chhattisgarh,404,22,1.8,1.7,2.1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Janjgir Champa,Chhattisgarh,405,22,0.5,0.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bilaspur,Chhattisgarh,406,22,0.3,0.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kabirdham,Chhattisgarh,407,22,1.4,1.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Rajnandgaon,Chhattisgarh,408,22,0.8,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Durg,Chhattisgarh,409,22,1.4,1,2,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Raipur,Chhattisgarh,410,22,1.2,0.8,1.9,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Mahasamund,Chhattisgarh,411,22,1,1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dhamtari,Chhattisgarh,412,22,1.4,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Uttar Bastar Kanker,Chhattisgarh,413,22,1.5,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bastar,Chhattisgarh,414,22,1.4,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Narayanpur,Chhattisgarh,415,22,0.6,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dakshin Bastar Dantewada,Chhattisgarh,416,22,1.2,1.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bijapur,Chhattisgarh,417,22,0.1,0.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sheopur,Madhya Pradesh,418,23,0.8,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Morena,Madhya Pradesh,419,23,0.2,0.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bhind,Madhya Pradesh,420,23,0.3,0.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Gwalior,Madhya Pradesh,421,23,0.6,0.8,0.5,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Datia,Madhya Pradesh,422,23,0.4,0.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Shivpuri,Madhya Pradesh,423,23,1.2,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Tikamgarh,Madhya Pradesh,424,23,0.9,0.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Chhatarpur,Madhya Pradesh,425,23,0.9,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Panna,Madhya Pradesh,426,23,1.1,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sagar,Madhya Pradesh,427,23,1.4,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Damoh,Madhya Pradesh,428,23,1.3,1.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Satna,Madhya Pradesh,429,23,1.6,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Rewa,Madhya Pradesh,430,23,0.7,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Umaria,Madhya Pradesh,431,23,0.9,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Neemuch,Madhya Pradesh,432,23,1.3,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Mandsaur,Madhya Pradesh,433,23,1.8,1.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ratlam,Madhya Pradesh,434,23,1.8,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ujjain,Madhya Pradesh,435,23,1.2,1.2,1.3,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Shajapur,Madhya Pradesh,436,23,1,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dewas,Madhya Pradesh,437,23,1.5,1.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dhar,Madhya Pradesh,438,23,1.5,1.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Indore,Madhya Pradesh,439,23,0.9,,0.8,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Khargone (West Nimar),Madhya Pradesh,440,23,1.3,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Barwani,Madhya Pradesh,441,23,1.8,1.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Rajgarh,Madhya Pradesh,442,23,0.2,0.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Vidisha,Madhya Pradesh,443,23,1.9,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bhopal,Madhya Pradesh,444,23,1.4,,1.4,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sehore,Madhya Pradesh,445,23,1.4,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Raisen,Madhya Pradesh,446,23,1.1,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Betul,Madhya Pradesh,447,23,0.9,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Harda,Madhya Pradesh,448,23,1.4,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Hoshangabad,Madhya Pradesh,449,23,1.3,1.2,1.6,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Katni,Madhya Pradesh,450,23,1.3,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jabalpur,Madhya Pradesh,451,23,1.4,1.1,1.6,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Narsimhapur,Madhya Pradesh,452,23,1.1,1.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dindori,Madhya Pradesh,453,23,1.5,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Mandla,Madhya Pradesh,454,23,2.1,2.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Chhindwara,Madhya Pradesh,455,23,1.1,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Seoni,Madhya Pradesh,456,23,2.2,2.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Balaghat,Madhya Pradesh,457,23,1.7,1.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Guna,Madhya Pradesh,458,23,1.1,1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ashoknagar,Madhya Pradesh,459,23,1.5,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Shahdol,Madhya Pradesh,460,23,1.5,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Anuppur,Madhya Pradesh,461,23,1.1,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sidhi,Madhya Pradesh,462,23,0.7,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Singrauli,Madhya Pradesh,463,23,0.3,0.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jhabua,Madhya Pradesh,464,23,0.9,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Alirajpur,Madhya Pradesh,465,23,1.2,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Khandwa (East Nimar),Madhya Pradesh,466,23,1.6,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Burhanpur,Madhya Pradesh,467,23,1.5,1.1,2.2,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kachchh,Gujarat,468,24,0.4,0.3,0.6,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Banaskantha,Gujarat,469,24,0.6,0.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Patan,Gujarat,470,24,1.1,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Mahesena,Gujarat,471,24,1.6,1.1,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Sabarkantha,Gujarat,472,24,1,0.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Gandhinagar,Gujarat,473,24,2.5,3.2,1.7,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Ahmadabad,Gujarat,474,24,2.3,,2.6,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Surendranagar,Gujarat,475,24,1.4,1.2,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Rajkot,Gujarat,476,24,1.5,0.4,2.2,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jamnagar,Gujarat,477,24,0.8,0.4,1.1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Porbandar,Gujarat,478,24,0.6,0.5,0.8,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Junagadh,Gujarat,479,24,1,1.3,0.4,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Amreli,Gujarat,480,24,1.5,1.6,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bhavnagar,Gujarat,481,24,1.2,1,1.5,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Anand,Gujarat,482,24,3,3,3.1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Kheda,Gujarat,483,24,1.8,1.8,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Panchmahal,Gujarat,484,24,1.1,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dohad,Gujarat,485,24,1.8,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Vadodara,Gujarat,486,24,1.3,1.2,1.4,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Narmada,Gujarat,487,24,1.5,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Bharuch,Gujarat,488,24,2,2.3,1.5,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
The Dangs,Gujarat,489,24,0.9,0.7,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Navsari,Gujarat,490,24,2.6,3,1.6,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Valsad,Gujarat,491,24,1.2,1.3,1.1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Surat,Gujarat,492,24,1.2,,1,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Tapi,Gujarat,493,24,1.5,1.4,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Diu,Daman & Diu,494,25,0.8,0.4,1.4,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Daman,Daman & Diu,495,25,2,,1.9,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Nandurbar,Maharashtra,497,27,1.2,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Dhule,Maharashtra,498,27,1.2,1.3,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Jalgaon,Maharashtra,499,27,1.3,1.6,0.5,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Buldhana,Maharashtra,500,27,1,0.9,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Akola,Maharashtra,501,27,1.6,1.4,1.8,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
Washim,Maharashtra,502,27,1.4,1.5,,86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
